condition,position,frame,flow_u,flow_v,magnitude
RIF10,208,58,-0.6704333,-1.886585,0.4068427
RIF10,208,60,-0.1563973,0.57044023,0.3295372
RIF10,208,62,-0.09039157,-0.28127986,0.33328155
RIF10,208,64,0.0062953867,-0.31163448,0.33829966
RIF10,208,66,0.59242266,2.5212562,0.6700944
RIF10,208,68,0.013149197,0.06597555,0.34018072
RIF10,208,70,-1.4186534,2.6057243,0.8192443
RIF10,208,72,-0.05556216,0.44246656,0.30816528
RIF10,208,74,-0.12859851,-0.097192034,0.21974736
RIF10,208,76,-0.064404264,-0.74478954,0.43862185
RIF10,208,78,0.43465245,0.23060618,0.5662235
RIF10,208,80,0.7612845,0.6350449,0.5398623
RIF10,208,82,0.1511583,-1.100085,0.52252996
RIF10,208,84,1.3869265,-2.8196194,1.0955653
RIF10,208,86,0.6953819,-3.223421,0.96041745
RIF10,208,88,-0.043808952,-0.023385778,0.20199047
RIF10,208,90,0.7568038,-0.42471844,0.44126037
RIF10,208,92,-0.62714994,0.04615953,0.49645868
RIF10,208,94,0.10809092,0.17562129,0.32571334
RIF10,208,96,-0.35065678,-1.1318127,0.5352552
RIF10,208,98,0.95400697,0.72843844,0.8319211
RIF10,208,100,0.062256455,0.39413303,0.28419194
RIF10,208,102,-0.2115975,-0.08291336,0.22585963
RIF10,208,104,4.874722,3.412117,1.6855584
RIF10,208,106,-0.64593154,1.6792593,0.37143558
RIF10,208,108,0.4377703,0.07921808,0.52354676
RIF10,209,0,-0.47726172,0.35615036,0.36554524
RIF10,209,2,-0.7173305,1.4748628,0.86570805
RIF10,209,4,-0.61128855,0.2423371,0.91740847
RIF10,209,6,0.8784302,2.4260645,1.0948734
RIF10,209,8,0.38883954,-0.62682253,0.9130851
RIF10,209,10,-0.56739193,-0.087565765,0.51048416
RIF10,209,12,0.0021114938,-0.29496777,2.015867
RIF10,209,14,-0.24399774,-0.68802917,0.5946403
RIF10,209,16,1.3041335,-1.0757096,0.91314214
RIF10,209,18,-0.6540747,0.8625072,0.5011837
RIF10,209,20,3.4762628,-4.177472,1.2414069
RIF10,209,22,0.15945612,1.211055,0.8148049
RIF10,209,24,-0.5016307,0.011523599,0.5667446
RIF10,209,26,0.4377933,-0.22444008,0.9697851
RIF10,209,28,3.1006768,2.9483175,1.2300833
RIF10,209,30,0.2843843,0.38230342,7.0574756
RIF10,209,32,-0.804523,0.58642495,1.7476151
RIF10,209,34,-0.4916165,-0.30685523,0.65381384
RIF10,209,36,-0.3717587,-0.07961659,0.5143739
RIF10,209,38,-0.45552775,1.0354371,0.66943824
RIF10,209,40,0.5248477,-2.9845557,0.7517173
RIF10,209,42,-0.3428291,0.14600524,0.3972885
RIF10,209,44,-0.2501449,-0.39082798,0.43981585
RIF10,209,46,-0.2523499,-0.15611337,0.4449375
RIF10,209,48,-0.46154657,-0.34151247,0.47129536
RIF10,209,50,-0.33773914,0.039459616,0.32813945
RIF10,209,52,-0.25217184,-0.2752655,0.39947248
RIF10,209,54,-0.47928378,-0.04841634,0.35671982
RIF10,209,56,-0.30577755,-0.3042065,0.49978933
RIF10,209,58,-1.2816396,-0.3769631,2.0567195
RIF10,209,60,-0.51620114,0.094933376,0.4352331
RIF10,209,62,0.020978553,3.6934144,1.6550114
RIF10,209,64,-0.44185326,-0.027692404,0.4834448
RIF10,209,66,3.2334545,0.21264876,1.9584988
RIF10,209,68,0.3898091,-0.10357363,1.0018961
RIF10,209,70,-0.20767362,0.20268281,0.32937154
RIF10,209,72,-0.4870141,1.6268643,0.9869808
RIF10,209,74,-0.028788397,0.18700235,0.38048965
RIF10,209,76,0.11492092,0.13257942,0.40199405
RIF10,209,78,-4.3600473,1.4378453,1.4716673
RIF10,209,80,1.046445,-0.26825395,1.0821558
RIF10,209,82,0.3606731,0.25362116,0.399238
RIF10,209,84,1.8968046,-0.78782946,1.2617981
RIF10,209,86,-0.14493664,0.029572168,0.34330502
